Propeller,RPM@32N,Thrust@32N (N),Power@32N (W),Torque@32N (Nm),Cp@32N,Ct@32N,FOM@32N,Eff@32N (N/W),RPM@12N,Thrust@12N (N),Power@12N (W),Torque@12N (Nm),Cp@12N,Ct@12N,FOM@12N,Eff@12N (N/W)
12x4,12389,32,589.637,0.4533,0.02064,0.07081,0.72711,0.054517,7894,12.5,153.47,0.1853,0.02083,0.06816,0.68141,0.081747
13x10F,8150,32,591.599,0.6907,0.0488,0.11876,0.6696,0.054393,5112,12.5,148.984,0.2764,0.04956,0.11773,0.6509,0.084795
12x7,9854,32,592.256,0.573,0.0413,0.112,0.72312,0.054227,6207,12.5,151.755,0.231,0.04192,0.1099,0.69327,0.083304
14x13,6841,32,592.579,0.8226,0.05685,0.12517,0.6212,0.054441,4270,12.5,150.987,0.3307,0.05828,0.12455,0.6017,0.08524
12x8SF,7986,32,593.763,0.7096,0.078,0.17069,0.72099,0.053929,5012,12.5,145.947,0.2779,0.0775,0.1692,0.71604,0.08577
14x12E,7368,32,598.489,0.7693,0.04576,0.10777,0.61647,0.054129,4603,12.5,151.392,0.3078,0.04664,0.10712,0.59903,0.08516
13x10E,8479,32,604.402,0.6761,0.0449,0.11124,0.65944,0.053476,5313,12.5,153.028,0.2706,0.04564,0.11026,0.63981,0.083379
115x4,12350,32,605.508,0.4671,0.02653,0.08448,0.73845,0.053078,7846,12.5,156.669,0.19,0.02675,0.08172,0.697,0.080207
14x135,6825,32,605.54,0.8424,0.05847,0.12576,0.60812,0.053315,4259,12.5,154.308,0.3383,0.05997,0.12515,0.58959,0.083332
11x46SF,12269,32,605.978,0.4704,0.03378,0.10229,0.77227,0.053028,7761,12.5,149.755,0.1833,0.03288,0.09968,0.76352,0.084204
14x13N,7114,32,606.785,0.8112,0.05189,0.11592,0.60645,0.053038,4434,12.5,155.428,0.3262,0.05325,0.11529,0.58677,0.083118
13x11,7873,32,606.848,0.7333,0.05553,0.12726,0.65237,0.052998,4938,12.5,153.338,0.295,0.05676,0.12638,0.63119,0.082061
